'Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Régimen y estado,Periodo,Total
'Total Nacional,Viviendas: Total,,Viviendas: Total,2023.0,586.913
'Total Nacional,Viviendas: Total,,Viviendas: Total,2022.0,650.265
'Total Nacional,Viviendas: Total,,Viviendas: Total,2021.0,566.485
'Total Nacional,Viviendas: Total,,Viviendas: Total,2020.0,420.238
'Total Nacional,Viviendas: Total,,Viviendas: Total,2019.0,505.467
'Total Nacional,Viviendas: Total,,Viviendas: Total,2018.0,517.984
'Total Nacional,Viviendas: Total,,Viviendas: Total,2017.0,467.644
'Total Nacional,Viviendas: Total,,Viviendas: Total,2016.0,405.385
'Total Nacional,Viviendas: Total,,Viviendas: Total,2015.0,355.556
'Total Nacional,Viviendas: Total,,Viviendas: Total,2014.0,318.83
'Total Nacional,Viviendas: Total,,Viviendas: Total,2013.0,312.593
'Total Nacional,Viviendas: Total,,Viviendas: Total,2012.0,318.534
'Total Nacional,Viviendas: Total,,Viviendas: Total,2011.0,359.824
'Total Nacional,Viviendas: Total,,Viviendas: Total,2010.0,439.591
'Total Nacional,Viviendas: Total,,Viviendas: Total,2009.0,413.393
'Total Nacional,Viviendas: Total,,Viviendas: Total,2008.0,552.08
'Total Nacional,Viviendas: Total,,Viviendas: Total,2007.0,775.3
'Total Nacional,Vivienda nueva,,Vivienda nueva,2023.0,110.894
'Total Nacional,Vivienda nueva,,Vivienda nueva,2022.0,116.458
'Total Nacional,Vivienda nueva,,Vivienda nueva,2021.0,114.03
'Total Nacional,Vivienda nueva,,Vivienda nueva,2020.0,83.561
'Total Nacional,Vivienda nueva,,Vivienda nueva,2019.0,92.946
'Total Nacional,Vivienda nueva,,Vivienda nueva,2018.0,91.716
'Total Nacional,Vivienda nueva,,Vivienda nueva,2017.0,83.24
'Total Nacional,Vivienda nueva,,Vivienda nueva,2016.0,75.134
'Total Nacional,Vivienda nueva,,Vivienda nueva,2015.0,76.954
'Total Nacional,Vivienda nueva,,Vivienda nueva,2014.0,117.519
'Total Nacional,Vivienda nueva,,Vivienda nueva,2013.0,143.771
'Total Nacional,Vivienda nueva,,Vivienda nueva,2012.0,155.89
'Total Nacional,Vivienda nueva,,Vivienda nueva,2011.0,174.299
'Total Nacional,Vivienda nueva,,Vivienda nueva,2010.0,220.612
'Total Nacional,Vivienda nueva,,Vivienda nueva,2009.0,218.775
'Total Nacional,Vivienda nueva,,Vivienda nueva,2008.0,278.034
'Total Nacional,Vivienda nueva,,Vivienda nueva,2007.0,326.382
'Total Nacional,Vivienda usada,,Vivienda usada,2023.0,476.019
'Total Nacional,Vivienda usada,,Vivienda usada,2022.0,533.807
'Total Nacional,Vivienda usada,,Vivienda usada,2021.0,452.455
'Total Nacional,Vivienda usada,,Vivienda usada,2020.0,336.677
'Total Nacional,Vivienda usada,,Vivienda usada,2019.0,412.521
'Total Nacional,Vivienda usada,,Vivienda usada,2018.0,426.268
'Total Nacional,Vivienda usada,,Vivienda usada,2017.0,384.404
'Total Nacional,Vivienda usada,,Vivienda usada,2016.0,330.251
'Total Nacional,Vivienda usada,,Vivienda usada,2015.0,278.602
'Total Nacional,Vivienda usada,,Vivienda usada,2014.0,201.311
'Total Nacional,Vivienda usada,,Vivienda usada,2013.0,168.822
'Total Nacional,Vivienda usada,,Vivienda usada,2012.0,162.644
'Total Nacional,Vivienda usada,,Vivienda usada,2011.0,185.525
'Total Nacional,Vivienda usada,,Vivienda usada,2010.0,218.979
'Total Nacional,Vivienda usada,,Vivienda usada,2009.0,194.618
'Total Nacional,Vivienda usada,,Vivienda usada,2008.0,274.046
'Total Nacional,Vivienda usada,,Vivienda usada,2007.0,448.918
'Total Nacional,Vivienda libre,,Vivienda libre,2023.0,542.324
'Total Nacional,Vivienda libre,,Vivienda libre,2022.0,599.524
'Total Nacional,Vivienda libre,,Vivienda libre,2021.0,518.34
'Total Nacional,Vivienda libre,,Vivienda libre,2020.0,382.543
'Total Nacional,Vivienda libre,,Vivienda libre,2019.0,457.491
'Total Nacional,Vivienda libre,,Vivienda libre,2018.0,468.032
'Total Nacional,Vivienda libre,,Vivienda libre,2017.0,422.327
'Total Nacional,Vivienda libre,,Vivienda libre,2016.0,363.826
'Total Nacional,Vivienda libre,,Vivienda libre,2015.0,319.141
'Total Nacional,Vivienda libre,,Vivienda libre,2014.0,286.269
'Total Nacional,Vivienda libre,,Vivienda libre,2013.0,277.431
'Total Nacional,Vivienda libre,,Vivienda libre,2012.0,280.048
'Total Nacional,Vivienda libre,,Vivienda libre,2011.0,312.035
'Total Nacional,Vivienda libre,,Vivienda libre,2010.0,389.037
'Total Nacional,Vivienda libre,,Vivienda libre,2009.0,371.148
'Total Nacional,Vivienda libre,,Vivienda libre,2008.0,502.771
'Total Nacional,Vivienda libre,,Vivienda libre,2007.0,708.246
'Total Nacional,Vivienda protegida,,Vivienda protegida,2023.0,44.589
'Total Nacional,Vivienda protegida,,Vivienda protegida,2022.0,50.741
'Total Nacional,Vivienda protegida,,Vivienda protegida,2021.0,48.145
'Total Nacional,Vivienda protegida,,Vivienda protegida,2020.0,37.695
'Total Nacional,Vivienda protegida,,Vivienda protegida,2019.0,47.976
'Total Nacional,Vivienda protegida,,Vivienda protegida,2018.0,49.952
'Total Nacional,Vivienda protegida,,Vivienda protegida,2017.0,45.317
'Total Nacional,Vivienda protegida,,Vivienda protegida,2016.0,41.559
'Total Nacional,Vivienda protegida,,Vivienda protegida,2015.0,36.415
'Total Nacional,Vivienda protegida,,Vivienda protegida,2014.0,32.561
'Total Nacional,Vivienda protegida,,Vivienda protegida,2013.0,35.162
'Total Nacional,Vivienda protegida,,Vivienda protegida,2012.0,38.486
'Total Nacional,Vivienda protegida,,Vivienda protegida,2011.0,47.789
'Total Nacional,Vivienda protegida,,Vivienda protegida,2010.0,50.554
'Total Nacional,Vivienda protegida,,Vivienda protegida,2009.0,42.245
'Total Nacional,Vivienda protegida,,Vivienda protegida,2008.0,49.309
'Total Nacional,Vivienda protegida,,Vivienda protegida,2007.0,67.054
'Total Nacional,01 Andalucía,,Viviendas: Total,2023.0,119.479
'Total Nacional,01 Andalucía,,Viviendas: Total,2022.0,134.647
'Total Nacional,01 Andalucía,,Viviendas: Total,2021.0,117.987
'Total Nacional,01 Andalucía,,Viviendas: Total,2020.0,83.481
'Total Nacional,01 Andalucía,,Viviendas: Total,2019.0,100.104
'Total Nacional,01 Andalucía,,Viviendas: Total,2018.0,101.412
'Total Nacional,01 Andalucía,,Viviendas: Total,2017.0,89.607
'Total Nacional,01 Andalucía,,Viviendas: Total,2016.0,79.352
'Total Nacional,01 Andalucía,,Viviendas: Total,2015.0,70.707
'Total Nacional,01 Andalucía,,Viviendas: Total,2014.0,63.969
'Total Nacional,01 Andalucía,,Viviendas: Total,2013.0,64.131
'Total Nacional,01 Andalucía,,Viviendas: Total,2012.0,62.943
'Total Nacional,01 Andalucía,,Viviendas: Total,2011.0,72.753
'Total Nacional,01 Andalucía,,Viviendas: Total,2010.0,83.195
'Total Nacional,01 Andalucía,,Viviendas: Total,2009.0,86.640
'Total Nacional,01 Andalucía,,Viviendas: Total,2008.0,120.198
'Total Nacional,01 Andalucía,,Viviendas: Total,2007.0,167.803
'Total Nacional,01 Andalucía,,Vivienda nueva,2023.0,24.104
'Total Nacional,01 Andalucía,,Vivienda nueva,2022.0,26.598
'Total Nacional,01 Andalucía,,Vivienda nueva,2021.0,26.517
'Total Nacional,01 Andalucía,,Vivienda nueva,2020.0,17.299
'Total Nacional,01 Andalucía,,Vivienda nueva,2019.0,18.737
'Total Nacional,01 Andalucía,,Vivienda nueva,2018.0,18.141
'Total Nacional,01 Andalucía,,Vivienda nueva,2017.0,16.492
'Total Nacional,01 Andalucía,,Vivienda nueva,2016.0,14.709
'Total Nacional,01 Andalucía,,Vivienda nueva,2015.0,16.422
'Total Nacional,01 Andalucía,,Vivienda nueva,2014.0,25.634
'Total Nacional,01 Andalucía,,Vivienda nueva,2013.0,32.113
'Total Nacional,01 Andalucía,,Vivienda nueva,2012.0,33.449
'Total Nacional,01 Andalucía,,Vivienda nueva,2011.0,36.916
'Total Nacional,01 Andalucía,,Vivienda nueva,2010.0,44.399
'Total Nacional,01 Andalucía,,Vivienda nueva,2009.0,48.609
'Total Nacional,01 Andalucía,,Vivienda nueva,2008.0,63.489
'Total Nacional,01 Andalucía,,Vivienda nueva,2007.0,82.147
'Total Nacional,01 Andalucía,,Vivienda usada,2023.0,95.375
'Total Nacional,01 Andalucía,,Vivienda usada,2022.0,108.049
'Total Nacional,01 Andalucía,,Vivienda usada,2021.0,91.470
'Total Nacional,01 Andalucía,,Vivienda usada,2020.0,66.182
'Total Nacional,01 Andalucía,,Vivienda usada,2019.0,81.367
'Total Nacional,01 Andalucía,,Vivienda usada,2018.0,83.271
'Total Nacional,01 Andalucía,,Vivienda usada,2017.0,73.115
'Total Nacional,01 Andalucía,,Vivienda usada,2016.0,64.643
'Total Nacional,01 Andalucía,,Vivienda usada,2015.0,54.285
'Total Nacional,01 Andalucía,,Vivienda usada,2014.0,38.335
